PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	AGE_LOST_TO_FOLLOW_UP	Number	Mandatory	Age of subject (in days) when the subject was lost to follow-up.	ncit:C172679	_undefined_	_undefined_	_undefined_
VD	CAUSE_OF_DEATH	Code	Mandatory	The circumstance or condition that results in the death of a living being.	ncit:C81239	_undefined_	_undefined_	_undefined_
PD						Disease Progression	An indication that the subject has died due to the progression of their disease.	ncit:C168970	Note: If multiple causes of death, include one observation per cause of death.
PD						Pre-Treatment Disease Complications	A complication of the disease that existed prior to treatment.	ncit:C168876
PD						Secondary Malignancy	A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.	ncit:C4968
PD						Treatment-Related mortality	A death that is considered to be causally linked to a treatment.	ncit:C166165
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	TRM_TYPE	Code	Mandatory	The type of treatment related to the mortality of the subject.	ncit:C173260	_undefined_	_undefined_	_undefined_
PD						Stem Cell Transplant	A therapeutic procedure that involves the transplantation of hematopoietic stem cells, either with the patient as their own donor or from a donor to a patient. This can be used for treatment of malignant and non-malignant diseases.	ncit:C15431
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
VD	CAUSE_OF_DEATH_DETAIL	Code	Mandatory	Specific details of the cause of death.	ncit:C168868	_undefined_	_undefined_	_undefined_
PD						Hemorrhage	In medicine, loss of blood from damaged blood vessels. A hemorrhage may be internal or external, and usually involves a lot of bleeding in a short time.	ncit:C26791	Note: If multiple cause of death details, include one observation per cause of death detail.
PD						Unacceptable Toxicity
PD						Bacterial Infection	An acute infectious disorder that is caused by gram positive or gram negative bacteria; representative examples include pneumococcal, streptococcal, salmonella, and meningeal infections.	ncit:C2890
PD						Viral Infection	Any disease caused by a virus.	ncit:C3439
PD						Fungal Infection	An infection caused by a fungus.	ncit:C3245
PD						Infection, NOS	The invasion of an organism's body tissues by disease-causing agents and their multiplication, as well as the reaction by the host to these organisms and/or toxins that the organisms produce.	ncit:C128320
PD						Organ Failure, NOS	The failure of an essential system in the body.	ncit:C185320
PD						Cardiac Disease	A non-neoplastic or neoplastic disorder that affects the heart and/or the pericardium. Representative examples include endocarditis, pericarditis, atrial myxoma, cardiac myeloid sarcoma, and pericardial malignant mesothelioma.	ncit:C3079
PD						Pulmonary Disease	A non-neoplastic or neoplastic disorder affecting the lung. Representative examples of non-neoplastic disorders include chronic obstructive pulmonary disease and pneumonia. Representative examples of neoplastic disorders include benign processes (e.g., respiratory papilloma) and malignant processes (e.g., lung carcinoma and metastatic cancer to the lung).	ncit:C3198
PD						Surgical Complication	A disease or disorder that occurs during, soon after or as a result of a surgical procedure.	ncit:C164157
PD						Graft Versus Host Disease	A reaction, which may be fatal, in an immunocompromised subject (host) who has received an antigenically incompatible tissue transplant (graft) from an immunocompetent donor. The reaction is secondary to the activation of the transplanted cells against those host tissues that express an antigen not expressed by the donor, and is seen most commonly following bone marrow transplantation; acute disease is seen after 5-40 days, and chronic disease occurs weeks to months after transplantation.	ncit:C3063
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
VD	CAUSE_OF_DEATH_RANKING	Code	Mandatory	Assigning a weighted relevance to the cause of death.	ncit:C168932	_undefined_	_undefined_	_undefined_
PD						Primary	The first significant event which ultimately led to death.	ncit:C99531
PD						Contributory	Any adverse event contributing to the cause of death.	ncit:C168948


DD	Disease Attributes
TD	Disease Characteristics
TG	One row per subject per disease phase per detection method
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, etc...
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Progression	The worsening of a disease over time.	ncit:C17747
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	DETECTION_METHOD	Code	Mandatory	The method used to detect the extent of the disease involvement.	ncit:C173262	_undefined_	_undefined_	_undefined_
PD						Biopsy	The removal of tissue specimens or fluid from the living body for microscopic examination, performed to establish a diagnosis.	ncit:C15189	Note: If there were multiple detection methods, include one observation per detection method.
PD						Imaging	The removal of tissue specimens or fluid from the living body for microscopic examination, performed to establish a diagnosis.	ncit:C15189
PD						Clinical Signs or Symptoms	Objective evidence of disease perceptible to the examining practitioner (sign) and subjective evidence of disease perceived by the patient (symptom).	ncit:C100104
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
VD	BULK_DISEASE	Code	Mandatory	Bulky Disease	ncit:C38655	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
VD	BULK_NODAL_AGGREGATE	Code	Mandatory	Bulk at an alternate site to the thorax defined as any mass measuring 10 cm or more by any imaging study.	ncit:C185476	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
VD	BULK_MED_MASS	Code	Mandatory	When the maximum width of a mass is equal or greater than one-third of the internal transverse diameter of the thorax at the level of T5/6 on a PA CXR. Bulk at an alternate site is defined as any mass measuring 10 cm or more by any imaging study.	ncit:C178075	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
VD	MED_RATIO	Number	Mandatory	A measurement of the width of the mediastinum divided by the width of the chest.	ncit:C185323	_undefined_	_undefined_	_undefined_
VD	FEVER	Code	Mandatory	Elevation of body temperature above normal due to inflammatory or immune responses.	ncit:C3038	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
VD	NIGHT_SWEATS	Code	Mandatory	Perspiration experienced nocturnally that is unrelated to environmental temperature.	ncit:C3279	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
VD	WEIGHT_LOSS	Code	Mandatory	A reduction in total body weight.	ncit:C3445	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
VD	NODULAR_SPLENIC	Code	Mandatory	Any lymph node located along the splenic artery that receives afferent drainage from the pancreas, spleen, and stomach, and which generally has their efferents join the celiac group of preaortic lymph nodes.	ncit:C142320	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
VD	KARNOFSKY	Code	Mandatory	An index designed for classifying patients 16 years of age or older by their functional impairment.	ncit:C28013	_undefined_	_undefined_	_undefined_
PD						100	Normal; no complaints; no evidence of disease.	ncit:C105707
PD						90	Able to carry on normal activity; minor signs or symptoms of disease.	ncit:C105709
PD						80	Normal activity with effort; some sign or symptoms of disease.	ncit:C105710
PD						70	Cares for self; unable to carry on normal activity or do active work.	ncit:C105711
PD						60	Requires occasional assistance, but is able to care for most personal needs.	ncit:C105712
PD						50	Requires considerable assistance and frequent medical care.	ncit:C105713
PD						40	Disabled; requires special care and assistance.	ncit:C105714
PD						30	Severely disabled; hospitalization is indicated, although death not imminent.	ncit:C105715
PD						20	Very sick; hospitalization necessary; active support treatment is necessary.	ncit:C105716
PD						10	Moribund; fatal processes progressing rapidly.	ncit:C105718
PD						0	Dead.	ncit:C105720
VD	LANSKY	Code	Mandatory	The play-performance scale for children is a parent-rated instrument which records usual play activity as the index of performance. It is similar to the Karnofsky Performance Scale for adults.	ncit:C38144	_undefined_	_undefined_	_undefined_
